iter	Logloss
0	0.6863792265
1	0.6783857098
2	0.6696390298
3	0.6630343222
4	0.6534266229
5	0.6464685512
6	0.6378352484
7	0.6313640338
8	0.6253225844
9	0.6194449719
10	0.6127738371
11	0.6064790616
12	0.5993994388
13	0.5941577569
14	0.5880445656
15	0.5822602209
16	0.5751947723
17	0.5705431168
18	0.5655855925
19	0.5590699236
20	0.5538284632
21	0.5499207392
22	0.5451840285
23	0.5409116176
24	0.5354958751
25	0.5270956615
26	0.5223236936
27	0.5169182791
28	0.5117417054
29	0.5073905649
30	0.5030542432
31	0.4994443715
32	0.4941085298
33	0.4885659246
34	0.4829906439
35	0.4799156405
36	0.4760477395
37	0.4730962311
38	0.468694318
39	0.4655115442
40	0.4618907249
41	0.4575055094
42	0.4546518759
43	0.4516377632
44	0.4483566475
45	0.4438181722
46	0.4403360967
47	0.4361319428
48	0.4325567824
49	0.4290971547
50	0.4255997717
51	0.4222349567
52	0.4179459318
53	0.4148384707
54	0.4127966675
55	0.4105672178
56	0.4072718929
57	0.4034897639
58	0.4010626007
59	0.3986729785
60	0.3953156752
61	0.3927303865
62	0.3888761673
63	0.3861841927
64	0.3837175063
65	0.3816518325
66	0.3790919797
67	0.3773866815
68	0.3749929238
69	0.3734000298
70	0.3698972505
71	0.3680970747
72	0.3653780088
73	0.3629145637
74	0.3604178567
75	0.3589294565
76	0.3559767736
77	0.3527363173
78	0.3495055662
79	0.3472951349
80	0.34468361
81	0.3435863819
82	0.3414942627
83	0.3393424275
84	0.3369518908
85	0.3345255054
86	0.3326059608
87	0.3285137238
88	0.3253676374
89	0.3238054554
90	0.3207954848
91	0.3182423816
92	0.3161746522
93	0.3132364618
94	0.3110288515
95	0.3087875191
96	0.3070023506
97	0.3047700123
98	0.3024553634
99	0.3004686173
100	0.2986917585
101	0.2968268023
102	0.2954809227
103	0.2934131353
104	0.2910798909
105	0.2881215823
106	0.286502579
107	0.2838571739
108	0.2821634629
109	0.2806352507
110	0.2787678742
111	0.2774050369
112	0.2759620633
113	0.2741371001
114	0.2715983524
115	0.2707167485
116	0.2697179235
117	0.2678109039
118	0.2663210108
119	0.265069142
120	0.2633517935
121	0.2616233756
122	0.2599422205
123	0.2580426195
124	0.2562908364
125	0.2542541433
126	0.2523869431
127	0.2499902081
128	0.2480900013
129	0.246460389
130	0.2450789744
131	0.2434323169
132	0.2417625493
133	0.2408300068
134	0.2394590324
135	0.2380121894
136	0.2368187365
137	0.2353084428
138	0.2338485428
139	0.2319303846
140	0.2307266809
141	0.2291722405
142	0.2275891016
143	0.2258694391
144	0.2246983108
145	0.2236692093
146	0.2226139209
147	0.2210493279
148	0.2203458351
149	0.2186150745
150	0.216819099
151	0.2158077026
152	0.2137557656
153	0.2123870031
154	0.2110994478
155	0.2098070357
156	0.2085185013
157	0.2077335542
158	0.2058325889
159	0.2043508074
160	0.2030695161
161	0.2016815183
162	0.2001923814
163	0.199026589
164	0.1978986324
165	0.1967411882
166	0.1954738114
167	0.1942591691
168	0.1929276073
169	0.1918467535
170	0.1910287522
171	0.1899155941
172	0.1883745854
173	0.1869452009
174	0.1862988742
175	0.1845487568
176	0.1833363089
177	0.1823027482
178	0.1812216682
179	0.1803075759
180	0.1793274484
181	0.1784413515
182	0.1776021122
183	0.176307326
184	0.175229391
185	0.1740541055
186	0.1728536412
187	0.1724235402
188	0.1716233358
189	0.1705752419
190	0.169493168
191	0.1684835434
192	0.1672646415
193	0.1658196374
194	0.1647497166
195	0.1636286433
196	0.1625755492
197	0.1613320088
198	0.1603672315
199	0.1590848627
200	0.1579611309
201	0.1571592985
202	0.1563311871
203	0.1555670782
204	0.1544551008
205	0.1534305447
206	0.1527218003
207	0.1511629975
208	0.1501195348
209	0.1491355182
210	0.1482352003
211	0.1470997071
212	0.1459841513
213	0.1448422327
214	0.1436409093
215	0.1427825562
216	0.141662283
217	0.1407919778
218	0.1399327876
219	0.138745904
220	0.1377378852
